RowID,plevel,taxa_level,cols_or_rows,n,nodf,ses
175,'1','Class','cols',583,0.752688036,7.285977075
176,'1','Class','cols',583,0.769085071,7.737439914
177,'1','Class','cols',583,0.688769942,6.33290348
178,'1','Class','cols',583,0.683379343,6.252720554
179,'1','Class','cols',583,0.72720812,5.967558119
180,'1','Class','cols',829,0.757623006,6.341414148
181,'1','Class','cols',829,0.694683979,5.452031678
182,'1','Class','cols',829,0.713710855,6.349566059
183,'1','Class','cols',829,0.669366709,5.069995528
184,'1','Class','cols',829,0.6878603,5.642351944
185,'1','Class','cols',829,0.674848958,5.283070403
186,'1','Class','cols',829,0.653461865,5.595114399
187,'1','Class','cols',829,0.722484903,6.048863867
188,'1','Class','cols',829,0.678129,6.119542715
189,'1','Class','cols',829,0.695466048,6.121784012
190,'1','Class','cols',1177,0.706232008,5.714680905
191,'1','Class','cols',1177,0.683082494,4.825888957
192,'1','Class','cols',1177,0.700416104,5.72407803
193,'1','Class','cols',1177,0.737180399,5.341772448
194,'1','Class','cols',1177,0.681264113,5.642293331
195,'1','Class','cols',1177,0.670586592,5.229083846
196,'1','Class','cols',1177,0.697682086,5.57084949
197,'1','Class','cols',1177,0.667015374,4.820408934
198,'1','Class','cols',1177,0.688680715,5.698741102
199,'1','Class','cols',1177,0.659108689,4.971859879
200,'1','Order','cols',49,0.494474861,5.581570421
201,'1','Order','cols',49,0.533673319,6.829174119
202,'1','Order','cols',49,0.549418438,6.433149546
203,'1','Order','cols',49,0.46487174,5.670827546
204,'1','Order','cols',49,0.527012149,7.015409552
205,'1','Order','cols',49,0.535009834,5.795181621
206,'1','Order','cols',49,0.536956961,6.044590785
207,'1','Order','cols',49,0.58519275,6.87128571
208,'1','Order','cols',49,0.549239878,6.260469332
209,'1','Order','cols',49,0.550153836,7.85054794
210,'1','Order','cols',71,0.53164369,6.560948787
211,'1','Order','cols',71,0.587122595,6.469078841
212,'1','Order','cols',71,0.595778917,4.646398764
213,'1','Order','cols',71,0.584536031,6.376424134
214,'1','Order','cols',71,0.569277234,5.530720618
215,'1','Order','cols',71,0.548817527,5.58626329
216,'1','Order','cols',71,0.543924455,5.071274155
217,'1','Order','cols',71,0.552704074,6.13562867
218,'1','Order','cols',71,0.568400243,5.90360239
219,'1','Order','cols',71,0.584120303,6.560457691
220,'1','Order','cols',100,0.52815656,5.370382688
221,'1','Order','cols',100,0.526638483,4.966958677
222,'1','Order','cols',100,0.494914234,4.669372308
223,'1','Order','cols',100,0.536981057,5.396632967
224,'1','Order','cols',100,0.562609291,5.764263082
225,'1','Order','cols',100,0.485295331,4.758937399
226,'1','Order','cols',100,0.520631089,4.874741035
227,'1','Order','cols',100,0.562961392,5.60573734
228,'1','Order','cols',100,0.572838558,6.004266659
229,'1','Order','cols',100,0.570756403,5.202428303
230,'1','Order','cols',143,0.56686181,5.347605505
231,'1','Order','cols',143,0.521992422,4.508780448
232,'1','Order','cols',143,0.54346913,5.341955986
233,'1','Order','cols',143,0.596687362,4.986103701
234,'1','Order','cols',143,0.609002537,7.078866586
235,'1','Order','cols',143,0.626365034,6.522293629
236,'1','Order','cols',143,0.612933754,6.595802764
237,'1','Order','cols',143,0.53914973,5.463039505
238,'1','Order','cols',143,0.556714194,5.568770429
239,'1','Order','cols',143,0.57408693,5.261116547
240,'1','Order','cols',203,0.534804952,5.228510264
241,'1','Order','cols',203,0.638209144,7.12033318
242,'1','Order','cols',203,0.568093385,5.870363146
243,'1','Order','cols',203,0.549954708,4.946603989
244,'1','Order','cols',203,0.506914416,5.218662919
245,'1','Order','cols',203,0.534474534,5.316876913
246,'1','Order','cols',203,0.599074695,6.351908136
247,'1','Order','cols',203,0.586649138,6.162970298
248,'1','Order','cols',203,0.578346704,6.569133191
249,'1','Order','cols',203,0.564341526,6.370562877
250,'1','Order','cols',289,0.554830368,6.345364731
251,'1','Order','cols',289,0.549601684,5.357104549
252,'1','Order','cols',289,0.58481167,6.130109292
253,'1','Order','cols',289,0.524807011,5.228275721
254,'1','Order','cols',289,0.617077165,5.914163818
255,'1','Order','cols',289,0.527848838,5.349729114
256,'1','Order','cols',289,0.557761315,5.397554845
257,'1','Order','cols',289,0.562287283,7.143130382
258,'1','Order','cols',289,0.618608148,6.902146141
259,'1','Order','cols',289,0.53388204,5.647428811
260,'1','Order','cols',410,0.591229605,5.590547376
261,'1','Order','cols',410,0.541598689,5.028686636
262,'1','Order','cols',410,0.579757896,5.682442051
263,'1','Order','cols',410,0.574665934,6.089229289
264,'1','Order','cols',410,0.543825003,5.133354191
265,'1','Order','cols',410,0.563676892,5.817920628
266,'1','Order','cols',410,0.600958709,6.588631476
267,'1','Order','cols',410,0.59592296,6.923933465
268,'1','Order','cols',410,0.574435141,6.2769322
269,'1','Order','cols',410,0.578409316,5.323843292
270,'1','Order','cols',583,0.579176849,6.737352209
271,'1','Order','cols',583,0.579567212,5.519185615
